Playlist_name,User_id,Genre,Songs,Listens
Chill Vibes,U001,Reggaeton,"S022,S049,S010,S030,S035",4284
Workout Mix,U016,Hip-Hop,"S043,S002,S047,S057,S004,S058,S035,S010,S017,S027,S028",3444
Party Starters,U006,Lo-Fi,"S006,S033,S020,S004,S041",8591
Study Time,U005,K-Pop,"S023,S048,S008,S038,S034,S041,S004,S060,S002,S015",6217
Throwback Hits,U017,Hip-Hop,"S017,S036,S049,S051,S039,S029,S013,S048,S047",8559
Indie Essentials,U004,Hip-Hop,"S002,S026,S053,S054,S027,S006,S057",7116
Late Night Drive,U005,Hip-Hop,"S044,S053,S059,S042,S048,S051,S018,S015,S046,S006",4996
Top 2020s,U014,Hip-Hop,"S058,S002,S015,S054,S049,S060,S004,S030,S022,S011,S047",5453
Summer Feels,U006,Reggaeton,"S001,S035,S007,S040,S010,S021",8566
Global Grooves,U013,Country,"S015,S039,S020,S007,S048,S044,S010,S050,S057,S004,S002,S031",3865
K-Pop Anthems,U002,K-Pop,"S029,S016,S043,S035,S059,S015",2432
Latin Fire,U003,Indie,"S033,S052,S007,S030,S056,S054,S046,S021,S037",5081
Mood Boosters,U003,Latin,"S046,S057,S016,S010,S039,S024",912
Lo-Fi Lounge,U008,Latin,"S028,S016,S004,S051,S048,S057,S007,S056,S038,S006,S022,S042",6640
R&B Favorites,U006,Afrobeats,"S058,S057,S036,S030,S020,S027,S044,S054,S011,S012,S008,S045",3841
Pop Parade,U004,Hip-Hop,"S058,S034,S013,S053,S043,S010,S009,S044,S045,S014,S008",4562
Rap Rotation,U010,Latin,"S013,S053,S052,S024,S054,S016",1509
Electronic Edge,U012,Synthpop,"S004,S025,S006,S042,S038,S016,S045,S036,S019,S029",9488
Country Roads,U007,Afrobeats,"S032,S015,S037,S030,S055,S027,S025,S008,S039",6379
Alt Rock Rewind,U008,Country,"S023,S045,S032,S005,S044,S052,S007,S015,S041,S010",2901
Sunday Morning,U020,Synthpop,"S011,S010,S037,S012,S048,S005,S026,S018,S059,S022,S047,S009",4187
Feel Good Hits,U001,Rock,"S031,S030,S033,S051,S041",1540
